Player,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS
Minnesota Vikings,4.3,0.7,0.6,0.9,0.1,0.0,19.3,291.2,8.8
Tampa Bay Buccaneers,3.1,0.8,0.7,1.0,0.2,0.0,18.8,315.7,8.1
Seattle Seahawks,3.0,0.8,0.6,0.9,0.2,0.0,18.5,306.0,8.0
New Orleans Saints,3.1,0.8,0.5,0.8,0.2,0.0,18.3,292.3,7.8
Chicago Bears,3.0,0.9,0.5,0.8,0.2,0.0,18.3,290.3,7.8
Cincinnati Bengals,2.8,0.9,0.6,0.8,0.2,0.0,16.7,317.5,7.8
Buffalo Bills,2.8,0.8,0.6,1.0,0.2,0.0,19.8,319.7,7.6
San Francisco 49ers,2.9,0.6,0.7,1.2,0.2,0.0,19.5,310.0,7.6
Dallas Cowboys,3.3,0.9,0.7,1.2,0.2,0.0,21.9,321.3,7.5
Atlanta Falcons,2.9,0.8,0.5,0.7,0.1,0.0,20.0,304.7,7.3
New York Giants,2.8,0.9,0.8,1.3,0.2,0.0,20.6,333.4,7.2
Los Angeles Chargers,2.5,0.7,0.6,0.9,0.2,0.0,18.5,309.4,7.2
Houston Texans,3.0,0.7,0.6,0.9,0.2,0.1,23.3,333.8,6.9
Miami Dolphins,2.6,0.8,0.8,1.3,0.2,0.0,22.0,328.8,6.6
Kansas City Chiefs,2.9,0.7,0.6,1.0,0.2,0.0,22.4,335.9,6.6
Cleveland Browns,2.7,0.8,0.5,0.7,0.2,0.0,20.9,324.5,6.4
Green Bay Packers,2.6,0.7,0.6,0.9,0.2,0.1,25.8,346.3,6.4
Tennessee Titans,3.1,0.7,0.5,0.7,0.1,0.0,23.3,323.7,6.3
Pittsburgh Steelers,2.6,0.6,0.6,1.0,0.1,0.1,23.4,352.4,6.1
Las Vegas Raiders,2.6,0.6,0.6,0.9,0.2,0.0,23.0,338.0,6.0
Washington Commanders,2.5,0.7,0.6,0.9,0.1,0.0,24.3,336.0,5.9
Indianapolis Colts,2.9,0.6,0.5,0.8,0.1,0.0,26.0,354.7,5.9
Baltimore Ravens,2.2,0.7,0.7,1.1,0.2,0.0,24.2,345.6,5.9
Denver Broncos,2.4,0.7,0.6,1.0,0.1,0.0,25.3,340.2,5.8
Detroit Lions,2.4,0.8,0.4,0.6,0.1,0.0,23.6,364.1,5.7
New York Jets,2.4,0.7,0.6,0.9,0.1,0.0,24.7,338.5,5.6
Philadelphia Eagles,2.3,0.8,0.5,0.8,0.1,0.0,24.2,336.9,5.6
Jacksonville Jaguars,2.1,0.7,0.5,0.9,0.2,0.0,25.6,371.0,5.5
New England Patriots,2.4,0.7,0.4,0.6,0.1,0.0,25.4,320.5,5.4
Arizona Cardinals,1.7,0.8,0.6,0.9,0.2,0.0,28.5,388.5,5.3
Los Angeles Rams,2.1,0.7,0.5,0.7,0.1,0.0,29.2,372.8,5.1
Carolina Panthers,1.9,0.7,0.4,0.7,0.1,0.0,24.0,332.1,4.9
