Player,FG,FGA,XPT,FPTS
Harrison Butker KC,2.1,2.2,2.4,8.8
Chase McLaughlin TB,2.1,2.2,2.4,8.6
Ka'imi Fairbairn HOU,1.9,2.2,2.8,8.5
Evan McPherson CIN,1.9,2.2,2.8,8.5
Jake Moody SF,2.0,2.1,2.5,8.4
Jake Elliott PHI,1.8,2.1,2.9,8.3
Tyler Bass BUF,1.7,2.0,3.1,8.2
Jake Bates DET,1.7,2.0,3.0,8.2
Jason Sanders MIA,1.7,2.0,3.0,8.1
Cameron Dicker LAC,1.9,2.0,2.3,7.9
Jason Myers SEA,1.7,2.4,2.7,7.9
Younghoe Koo ATL,1.8,2.3,2.5,7.8
Blake Grupe NO,1.7,2.1,2.5,7.8
Brandon Aubrey DAL,1.7,1.9,2.5,7.6
Dustin Hopkins CLE,1.8,2.2,2.1,7.6
Daniel Carlson LV,1.8,1.7,2.0,7.4
Cairo Santos CHI,1.7,2.1,2.4,7.3
Chris Boswell PIT,1.7,2.0,2.0,7.2
Spencer Shrader IND,1.6,1.9,2.2,7.0
Joshua Karty LAR,1.5,2.0,2.4,6.9
Will Reichard MIN,1.5,1.7,2.1,6.7
Cam Little JAC,1.4,1.9,2.3,6.6
Graham Gano NYG,1.6,1.7,1.8,6.6
Joey Slye TEN,1.6,1.8,1.8,6.5
Wil Lutz DEN,1.4,1.9,2.0,6.2
Matt Gay WAS,0.6,1.1,1.2,3.0
Chad Ryland ARI,0.0,0.0,0.0,0.0
Anders Carlson NYJ,0.0,0.0,0.0,0.0
Matthew Wright CAR,0.0,0.0,0.0,0.0
Brandon McManus GB,0.0,0.0,0.0,0.0
Greg Joseph SF,0.0,0.0,0.0,0.0
